Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,김민석,재작년이였나? 어떤 민주당 의원이 “20대 남자들이 자신들을 지지하지 않는 이유는 제대로된 교육을 받지 못해서 그렇다” 라고 씨부리는거 보고 저딴 놈들 있는 동안에는 내 눈에 흙이 들어와도 민주당은 안뽑는다 라고 다짐했다. 근데 이번에도 박영선이 “20대 지지율 낮은건 역사경험이 부족해서 그렇다”라고 씨부리는거 보고 아 아직도 그대로구나 하고 그냥 믿고 걸렀다.,2주 전,채널A 뉴스,2.6천,56,82
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,날마다 새롭게,전지현변호사님 완전 완전 👍👍👍👍👍,2주 전,채널A 뉴스,2.6천,56,52
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Ana Amari,적폐청산 하자더니 180석 가지고 패악질을 했죠ㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,43
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,dolololol,나 중고등학교 다닐때 2010년도때는 페미교육 이런거 없고그냥 남자여자 사이 엄청좋았는데..... 그때가 그립다..... 요즘 학생들 불쌍 중고등학교 좋을시기에 젠더갈등이라니,1주 전,채널A 뉴스,2.6천,56,36
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,김재근,최진봉 배종호 김성환 박창환 김관옥 대표적인 어용 평론가들 입니다.이것들은 죄다 퇴출시켜야 합니다.,2주 전,채널A 뉴스,2.6천,56,192
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,m lc,20대남성들 폐미들이 지긋지긋한거지.,2주 전,채널A 뉴스,2.6천,56,42
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,qkdlzps129,솔직히 20대남성 거의 몰빵 나온게 성차별이 크지 근데 난 솔직히 페미들한테 너무 진심으로 고마움 차별당해도 남자니까 곰탱이처럼 그려려니 ~차별 불만 이야기하면 남자가 남자한테 사내새끼가 뭘 속좁게 그러냐 ~ 신경끄고 살았던사람들 단합시켜준거 진짜 너무 너무 고마움 ㅋㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,46
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,강다롱,서울부산시민들 진짜 멋있어요,2주 전,채널A 뉴스,2.6천,56,74
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,박원식,진짜 멍청한게 ㅋㅋ 중도들이 아무것도 몰라서 중도 인줄 알았던거 ㅋㅋㅋㅋ 그놈이 그놈이라 신경 안썼던 건데  그런데 이번엔 와 진짜 이건 아닌거 같아 모두다 뛰쳐 나옴 ㅋㅋ  하지만 앞으로 더 심해 질꺼임 ㅋㅋㅋ 인터넷 공작해도 다 알고 감성팔이해도 씨알도 안먹히고  진짜 일을 잘해야됨,1주 전,채널A 뉴스,2.6천,56,33
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,팩트폭행,과연 집값 하나때문에 남성들한테 버려졌을까?ㅋㅋ 그것도 20대남성들만 집문제로? 여성들은 박영선이 높은데?난 아니라고본다ㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,251
