Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,김종명,이게방송이야?  지들끼리 모여서 잡담이나  하고   어이구~,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,송영숙,이런 재수없게시리,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,Happy Day 6897,이택수대표...본심이 무언지...점점 우로가시네요...흐름타시는지...휴..,2주 전,KBS 1라디오,1천,55,5
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,안춘자,이택수 빼시죠 주진우라이브!!택수는 택도없내요,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,ᄀᄇᄉ,시민들은 본질을 흐리는 걸 싫어하고 있다 본인이 비리로 불법 투기한 땅이냐 아니냐가 본질이지 측량시 현장에 있었나 없었나 이게 무슨 소용이 있나,2주 전,KBS 1라디오,1천,55,6
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,say s,YTN이택수나와서민주당열라까든데왜부르나,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,전태숙,서울에 안 살지만 박영선 김영춘 당 선 갑니다,2주 전,KBS 1라디오,1천,55,15
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,문정희,깨시민20대30대들정직한후보를선태해서 잘사는서울시투표로심판해주세요  우리니라기둥입니다,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,엔젤빛그림 TV Heliograph,투표합시다.깨시민들이 투표안하면 토착왜구매국노세상됩니다.21세기기운독립운동가정신으로 투표합시다.,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,안단테지요,이택수  보수,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,황복규,전파낭비다,2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,선희문,얘들이 아주 신났어말도 안되는 소리해 놓고ㅆㅂ,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,MJ TV,최영일평론가 ㅋㅋㅋㅋㅋㅋ 51.5프로 투표율에 승부는 3.5프로 차이..촉 좋아하네...앞으로 이런 헛소리하는 전문성없는 전문가 보지않게 하소서...웃긴 전문가 ㅋㅋㅋㅋ,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,리근봉,한마디로 lh건이 졵니 커서 다른건 안먹힌다 이거지 틀린말은 아니야,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,gi hun song,이번에 야당이기면 1째 김어준 방송짤리고 2번째 주진우는 짤려야됩니다 좌빠 주진우,2주 전,KBS 1라디오,1천,55,5
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,청담,여론조사기관이 언론기관들과 공모하여 현정권을 공격한것이 사실아니냐고 너도나도 공감하고있고  너희들은 엄격한 조사를 받아야된다고 난리다.!!!@@@***,2주 전,KBS 1라디오,1천,55,5
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,한호진,리얼미터보다 내가낫다서울 민주 승 51:47 ㅋ부산 민주 신승 1만표차 ㅋㅋㅋㅋ,2주 전,KBS 1라디오,1천,55,10
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,신영선,"이번 토론보고 여,야 투표할 후보가 없음요 초딩 반장 선거도 이렇게는 안하겠네.. 아이들이 보면 뭘 배우라는건지능력이 안되면 출마를 하지 말던지...",2주 전,KBS 1라디오,1천,55,0
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,스토리메이플,성폭행범들 때문에 이번선거 하는거 아니냐? ㅋㅋㅋㅋㅋ 사실을 말해도 눈가리고 아웅~웃기는 대한민국이네.어쩌다 이렇게 ....,2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,mc dfm,진우야택수야영일아미안하다어제투표할때박영선이꼭찍을께,2주 전(수정됨),KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,윅스컴,"최영일 평론가님 이번 분석은 틀렸습니다. 투표율이 높다고 야당에 유리하다라고 하셨는데 이번은 틀렸습니다. 이번 선거는 좋은놈, 나쁜넘, 이상한넘 중 나쁜넘, 이상한넘은 심판받아야 하는 선거입니다. 거짓말쟁이랑 부동산투기자는 공직자의 자격이 없습니다.",2주 전,KBS 1라디오,1천,55,4
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,정필승!! ROKMC454설혜화동,구라미터애와 회색 박쥐ㆍ두넘다 틀렸다 ㆍ에라이~~~..,2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,지원,박영선💙김영춘💙당선을미리축하드립니다!,2주 전(수정됨),KBS 1라디오,1천,55,7
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,CS Han,"그렇게 생태밖에 할말없냐?진우야, 생떼 그마 부려라",2주 전,KBS 1라디오,1천,55,1
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,서윤석,"흥국이.덕화.이것들.,.극우골수분자들이죠..선거철마다..극우국개들지지행사하러 돌이다녔죠.,.,",2주 전,KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,Youngja Kim,부동산 폭등 못 막았다고 부동산 이득 본 거액 투기꾼을 뽑아야겠습니까? 오늘은 1번 찍는 날!  한 분 더 모시고 투표장으로 GO~~~~~~~,2주 전,KBS 1라디오,1천,55,7
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,뭉치면 강하다hy,오늘은 본 투표 확실하게 촛불의 힘을 보여 줍시다 정직하시고 일 잘 하시는 기호 1번 서울시장 후보 박영선 기호1번 부산시장 김영춘 압승 갑시다 투표는 한 일 전입니다 확실하게 이깁시다 투표장 가기 전까지 확실하게 밭.갈고 1번 찍으러 모두 모두 한분도 빠짐없이 1번 투표하러 갑시다 이겨야 산다 우리가 이긴다 박영선 김영춘 압승 갑시다 파이팅👍🔥💙더러운 쓰레기 모두 소각시키는 깨끗한 서울을 만듭시다 오세훈 거짓은 그만하고 경찰의 수사받고 국민의 심판을 받으라 박형준의 법죄를 모두모두 밝혀라 5천만원 주고 거짓 증언하라고 매수한 분이 사실을 밝혔다 이래도 거짓으로 철판깔고 유세하는 또라지 낮짝도 두껍구나 부산시민 여러분 한심한 박형준을 심판하라 오세훈 박형준 내로남불 뻔뻔하기 짝이 없는 이것들 후보 자격도 없음을 알라 썩어터진 쓰레기 반드시 시민들이 청소하고  반드시 심판 합시다🐕👈이젠 깨끗한 대한민국을 만듭시다,2주 전,KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,안봉대산,우리 아들 둘은 20대와 30대인데요.코로나19로 힘들게 방역하는 집권당을 찍어야 한다고 합니다.야당은 너무 싫데요,2주 전,KBS 1라디오,1천,55,16
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,Daniel Cho,성폭행범들 시장직  줘놓고 양심이 없네,2주 전(수정됨),KBS 1라디오,1천,55,3
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,MJ TV,두 패널이 과연 누가 맞는지 끝까지 추적해서 틀린 패널은 아예 방송에 나오지못하게 합시다...근데 현재 투표율을 보면 55프로 훌쩍 넘을듯...누구는 벌써 틀리네요..주진우님  패널은 우선 객관적으로 중간자인 사람으로 섭외해주세요 제가봐도 너무 치우친 평론가는 객관적인 시야조차 갖지못한 수준이하의 선동가에 불과해서 챙피합니다 51.5% 투표율 ㅋㅋ...전문가라니 허참...챙피합니다,2주 전(수정됨),KBS 1라디오,1천,55,2
[주진우 라이브] 이번 선거 캐스팅보트는 2030세대? | KBS 210406 방송,2021. 4. 6.,이나경,시장후보는  꼭  박영선이  돼야한다  엄마마음으로  주부마음으로  ..화이팅  합시다,2주 전,KBS 1라디오,1천,55,1
